Date,Open,High,Low,Close,Adj_Close,Volume
"Jun 16, 2011",1140.71,1157.48,1140.71,1140.71,944.18,13412
"Jun 15, 2011",1151.89,1151.89,1118.34,1151.89,953.43,31296
"Jun 14, 2011",1151.89,1151.89,1151.89,1151.89,953.43,4470
"Jun 13, 2011",1118.34,1129.52,1118.34,1118.34,925.66,330847
"Jun 10, 2011",1118.34,1118.34,1107.16,1118.34,925.66,1010426
"Jun 9, 2011",1107.16,1107.16,1107.16,1107.16,916.41,22354
"Jun 8, 2011",1107.16,1107.16,1107.16,1107.16,916.41,44709
"Jun 7, 2011",1095.97,1118.34,1095.97,1095.97,907.15,35767
"Jun 6, 2011",1118.34,1118.34,1118.34,1118.34,925.66,4470
"Jun 3, 2011",1118.34,1174.26,1118.34,1118.34,925.66,344260
"Jun 1, 2011",1174.26,1218.99,1174.26,1174.26,971.95,93889
"May 31, 2011",1218.99,1218.99,1218.99,1218.99,1008.97,22354
"May 30, 2011",1230.17,1230.17,1218.99,1230.17,1018.23,102831
"May 27, 2011",1118.34,1118.34,1118.34,1118.34,925.66,13412
"May 26, 2011",1174.26,1174.26,1174.26,1174.26,971.95,4470
"May 25, 2011",1174.26,1174.26,1174.26,1174.26,971.95,4470
"May 24, 2011",1174.26,1174.26,1174.26,1174.26,971.95,4470
"May 23, 2011",1174.26,1174.26,1174.26,1174.26,971.95,4470
"May 20, 2011",1174.26,1174.26,1174.26,1174.26,971.95,4470
"May 19, 2011",1118.34,1118.34,1118.34,1118.34,925.66,4470
"May 18, 2011",1118.34,1118.34,1118.34,1118.34,925.66,111772
"May 16, 2011",1118.34,1118.34,1118.34,1118.34,925.66,111772
"May 13, 2011",1118.34,1118.34,1118.34,1118.34,925.66,111772
"May 12, 2011",1118.34,1118.34,1118.34,1118.34,925.66,111772
"May 11, 2011",1118.34,1118.34,1118.34,1118.34,925.66,111772
"May 10, 2011",1118.34,1118.34,1118.34,1118.34,925.66,111772
"May 9, 2011",1118.34,1118.34,1118.34,1118.34,925.66,111772
"May 6, 2011",1118.34,1118.34,1118.34,1118.34,925.66,111772
"May 5, 2011",1118.34,1118.34,1118.34,1118.34,925.66,111772
"May 4, 2011",1118.34,1118.34,1112.75,1118.34,925.66,111772
"May 3, 2011",1118.34,1118.34,1118.34,1118.34,925.66,178836
"May 2, 2011",1168.67,1168.67,1168.67,1168.67,967.32,8941
"Apr 29, 2011",1118.34,1118.34,1118.34,1118.34,925.66,89418
"Apr 28, 2011",1118.34,1118.34,1118.34,1118.34,925.66,89418
"Apr 27, 2011",1174.26,1174.26,1174.26,1174.26,971.95,58121
"Apr 26, 2011",1174.26,1174.26,1174.26,1174.26,971.95,447091
"Apr 25, 2011",1174.26,1174.26,1174.26,1174.26,971.95,447091
"Apr 21, 2011",1174.26,1174.26,1174.26,1174.26,971.95,447091
"Apr 20, 2011",1174.26,1174.26,1174.26,1174.26,971.95,13412
"Apr 19, 2011",1174.26,1174.26,1174.26,1174.26,971.95,13412
"Apr 18, 2011",1174.26,1174.26,1174.26,1174.26,971.95,13412
"Apr 15, 2011",1174.26,1174.26,1174.26,1174.26,971.95,13412
"Apr 14, 2011",1174.26,1174.26,1174.26,1174.26,971.95,13412
"Apr 13, 2011",1174.26,1174.26,1174.26,1174.26,971.95,13412
"Apr 12, 2011",1174.26,1174.26,1174.26,1174.26,971.95,13412
"Apr 11, 2011",1174.26,1174.26,1174.26,1174.26,971.95,13412
"Apr 8, 2011",1174.26,1174.26,1174.26,1174.26,971.95,13412
"Apr 7, 2011",1174.26,1174.26,1174.26,1174.26,971.95,13412
"Apr 6, 2011",1174.26,1174.26,1174.26,1174.26,971.95,13412
